1245,系统,0.632,35000,+0.013,0.784,-0.152,正常,2021-07-06-19-01-05
1246,系统,0.661,36000,+0.029,0.784,-0.123,正常,2021-07-06-19-21-18
1247,系统,0.655,36000,-0.006,0.784,-0.129,正常,2021-07-06-19-41-19
1248,系统,0.670,37500,+0.015,0.784,-0.114,正常,2021-07-06-20-01-17
1249,系统,0.625,40700,-0.045,0.784,-0.159,正常,2021-07-06-20-21-03
1250,系统,0.608,39300,-0.017,0.784,-0.176,正常,2021-07-06-20-41-06
1251,系统,0.649,39600,+0.041,0.784,-0.135,正常,2021-07-06-21-01-06
1252,系统,0.646,44500,-0.003,0.784,-0.138,正常,2021-07-06-21-21-09
1253,系统,0.688,49300,+0.042,0.784,-0.096,正常,2021-07-06-21-41-06
1254,系统,0.646,57200,-0.042,0.784,-0.138,正常,2021-07-06-22-01-10
1255,系统,0.618,60200,-0.028,0.784,-0.166,正常,2021-07-06-22-21-03
1256,系统,0.659,59300,+0.041,0.784,-0.125,正常,2021-07-06-22-41-10
1257,系统,0.643,63000,-0.016,0.784,-0.141,正常,2021-07-06-23-01-06
1258,系统,0.656,64900,+0.013,0.784,-0.128,正常,2021-07-06-23-21-05
1259,系统,0.656,68800,+0.000,0.784,-0.128,正常,2021-07-06-23-41-05
1260,系统,0.661,72700,+0.005,0.656,+0.005,正常,2021-07-07-09-01-24
1261,系统,0.668,73700,+0.007,0.656,+0.012,正常,2021-07-07-09-21-14
1262,系统,0.652,73600,-0.016,0.656,-0.004,正常,2021-07-07-09-41-10
1263,系统,0.602,73600,-0.050,0.656,-0.054,正常,2021-07-07-10-01-11
1264,系统,0.596,75500,-0.006,0.656,-0.060,正常,2021-07-07-10-21-14
1265,系统,0.577,75500,-0.019,0.656,-0.079,正常,2021-07-07-10-41-16
1266,系统,0.619,74100,+0.042,0.656,-0.037,正常,2021-07-07-11-01-10
1267,系统,0.616,74100,-0.003,0.656,-0.040,正常,2021-07-07-11-21-12
1268,系统,0.647,74100,+0.031,0.656,-0.009,正常,2021-07-07-11-41-07
1269,系统,0.676,73900,+0.029,0.656,+0.020,正常,2021-07-07-12-01-12
1275,系统,0.665,77200,+0.002,0.656,+0.009,正常,2021-07-07-14-03-40
1276,系统,0.631,77100,-0.034,0.656,-0.025,正常,2021-07-07-14-24-42
1277,系统,0.636,77000,+0.005,0.656,-0.020,正常,2021-07-07-14-41-07
1279,系统,0.684,77000,+0.041,0.656,+0.028,正常,2021-07-07-15-21-24
1280,系统,0.649,77100,-0.035,0.656,-0.007,正常,2021-07-07-15-41-03
1281,系统,0.606,77100,-0.043,0.656,-0.050,正常,2021-07-07-16-01-18
1282,系统,0.628,77000,+0.022,0.656,-0.028,正常,2021-07-07-16-21-10
1283,系统,0.638,76800,+0.010,0.656,-0.018,正常,2021-07-07-16-41-25
1284,系统,0.624,76800,-0.014,0.656,-0.032,正常,2021-07-07-17-01-10
1285,系统,0.578,74900,-0.046,0.656,-0.078,正常,2021-07-07-17-21-25
1286,系统,0.572,72400,-0.006,0.656,-0.084,正常,2021-07-07-17-41-12
1287,系统,0.600,70500,+0.028,0.656,-0.056,正常,2021-07-07-18-01-13
1288,系统,0.610,70500,+0.010,0.656,-0.046,正常,2021-07-07-18-21-18
1289,系统,0.619,70500,+0.009,0.656,-0.037,正常,2021-07-07-18-41-17
1290,系统,0.658,72400,+0.039,0.656,+0.002,正常,2021-07-07-19-01-17
1291,系统,0.694,75300,+0.036,0.656,+0.038,正常,2021-07-07-19-21-12
1292,系统,0.725,77900,+0.031,0.656,+0.069,正常,2021-07-07-19-41-10
1293,系统,0.721,82900,-0.004,0.656,+0.065,正常,2021-07-07-20-01-18
1295,系统,0.754,86900,+0.009,0.656,+0.098,涨停,2021-07-07-20-41-13
1296,系统,0.708,89700,-0.046,0.656,+0.052,正常,2021-07-07-21-01-24
1297,系统,0.740,89700,+0.032,0.656,+0.084,正常,2021-07-07-21-21-16
1298,系统,0.754,89700,+0.014,0.656,+0.098,涨停,2021-07-07-21-41-22
1299,系统,0.754,89700,+0.000,0.656,+0.098,涨停,2021-07-07-22-01-18
1300,系统,0.727,89700,-0.027,0.656,+0.071,正常,2021-07-07-22-21-15
1301,系统,0.754,89800,+0.027,0.656,+0.098,涨停,2021-07-07-22-41-17
1302,系统,0.754,90800,+0.000,0.656,+0.098,涨停,2021-07-07-23-01-18
1303,系统,0.754,92700,+0.000,0.656,+0.098,涨停,2021-07-07-23-21-14
1304,系统,0.754,93600,+0.000,0.656,+0.098,涨停,2021-07-07-23-41-25
1305,系统,0.804,93600,+0.050,0.754,+0.050,正常,2021-07-08-09-01-12
1306,系统,0.818,93600,+0.014,0.754,+0.064,正常,2021-07-08-09-21-06
1307,系统,0.852,93600,+0.034,0.754,+0.098,正常,2021-07-08-09-41-11
1308,系统,0.897,93600,+0.045,0.754,+0.143,正常,2021-07-08-10-01-13
1309,系统,0.911,93500,+0.014,0.754,+0.157,正常,2021-07-08-10-21-08
1310,系统,0.868,93500,-0.043,0.754,+0.114,正常,2021-07-08-10-41-06
1311,系统,0.854,92500,-0.014,0.754,+0.100,正常,2021-07-08-11-01-18
1312,系统,0.852,92500,-0.002,0.754,+0.098,正常,2021-07-08-11-21-17
1313,系统,0.877,92500,+0.025,0.754,+0.123,正常,2021-07-08-11-41-13
1314,系统,0.834,92500,-0.043,0.754,+0.080,正常,2021-07-08-12-01-04
1315,系统,0.866,93500,+0.032,0.754,+0.112,正常,2021-07-08-12-21-07
1316,系统,0.916,93600,+0.050,0.754,+0.162,正常,2021-07-08-12-41-05
1317,系统,0.935,93600,+0.019,0.754,+0.181,涨停,2021-07-08-13-01-04
1318,系统,0.935,93700,+0.000,0.754,+0.181,涨停,2021-07-08-13-21-10
