4120,0.966,1000,0.934,2021-09-08-17-21-08
4121,0.997,1000,0.934,2021-09-08-17-41-02
4122,0.934,1000,0.934,2021-09-08-18-01-15
4123,0.934,1000,0.934,2021-09-08-18-21-02
4124,0.936,1000,0.934,2021-09-08-18-41-01
4125,0.934,1000,0.934,2021-09-08-19-01-16
4126,0.949,1000,0.934,2021-09-08-19-21-16
4127,0.965,1000,0.934,2021-09-08-19-41-11
4128,1.057,1000,0.934,2021-09-08-20-01-12
4212,0.565,1000,0.515,2021-09-10-18-01-05
4213,0.594,1000,0.515,2021-09-10-18-21-12
4214,0.644,1000,0.515,2021-09-10-18-41-15
4234,0.665,1000,0.644,2021-09-11-10-21-16
4235,0.666,1000,0.644,2021-09-11-10-41-06
4236,0.644,1000,0.644,2021-09-11-11-01-04
4237,0.644,1000,0.644,2021-09-11-11-21-06
4238,0.644,1000,0.644,2021-09-11-11-41-05
4239,0.644,1000,0.644,2021-09-11-12-01-06
4240,0.744,1000,0.644,2021-09-11-12-21-13
4241,0.681,1000,0.644,2021-09-11-12-41-11
4242,0.690,1000,0.644,2021-09-11-13-01-15
4243,0.717,1000,0.644,2021-09-11-13-21-15
4244,0.802,1000,0.644,2021-09-11-13-41-11
4245,0.828,1000,0.644,2021-09-11-14-01-08
4246,0.776,1000,0.644,2021-09-11-14-21-12
4247,0.731,1000,0.644,2021-09-11-14-41-11
4248,0.707,1000,0.644,2021-09-11-15-01-01
4249,0.678,1000,0.644,2021-09-11-15-21-13
4250,0.712,1000,0.644,2021-09-11-15-41-16
4251,0.644,1000,0.644,2021-09-11-16-01-13
4252,0.644,1000,0.644,2021-09-11-16-21-11
4253,0.644,1000,0.644,2021-09-11-16-41-03
4254,0.644,1000,0.644,2021-09-11-17-01-09
4255,0.729,1000,0.644,2021-09-11-17-21-14
4256,0.772,1000,0.644,2021-09-11-17-41-03
4257,0.765,1000,0.644,2021-09-11-18-01-12
4258,0.759,1000,0.644,2021-09-11-18-21-05
4259,0.826,1000,0.644,2021-09-11-18-41-05
4260,0.812,1000,0.644,2021-09-11-19-01-11
4261,0.854,1000,0.644,2021-09-11-19-21-09
4374,0.665,1000,0.629,2021-09-14-12-01-10
4375,0.712,1000,0.629,2021-09-14-12-21-15
4376,0.746,1000,0.629,2021-09-14-12-41-09
4377,0.746,1000,0.629,2021-09-14-13-01-15
4378,0.654,1000,0.629,2021-09-14-13-21-09
4379,0.629,1000,0.629,2021-09-14-13-41-14
4380,0.629,1000,0.629,2021-09-14-14-01-06
4381,0.674,1000,0.629,2021-09-14-14-21-02
4382,0.699,1000,0.629,2021-09-14-14-41-14
4383,0.679,1000,0.629,2021-09-14-15-01-13
4384,0.700,1000,0.629,2021-09-14-15-21-10
4385,0.639,1000,0.629,2021-09-14-15-41-02
4386,0.629,1000,0.629,2021-09-14-16-01-12
4387,0.645,1000,0.629,2021-09-14-16-21-16
4388,0.722,1000,0.629,2021-09-14-16-41-13
4389,0.697,1000,0.629,2021-09-14-17-01-11
4390,0.634,1000,0.629,2021-09-14-17-21-09
4391,0.629,1000,0.629,2021-09-14-17-41-13
4392,0.629,1000,0.629,2021-09-14-18-01-04
4394,0.629,1000,0.629,2021-09-14-18-41-01
4395,0.629,1000,0.629,2021-09-14-19-01-14
4396,0.629,1000,0.629,2021-09-14-19-21-05
4397,0.629,1000,0.629,2021-09-14-19-41-14
4398,0.629,1000,0.629,2021-09-14-20-01-12
4399,0.672,1000,0.629,2021-09-14-20-21-08
4400,0.639,1000,0.629,2021-09-14-20-41-01
4401,0.727,1000,0.629,2021-09-14-21-01-08
4402,0.781,1000,0.629,2021-09-14-21-21-10
4403,0.785,1000,0.629,2021-09-14-21-41-16
4404,0.720,1000,0.629,2021-09-14-22-01-07
4405,0.709,1000,0.629,2021-09-14-22-21-11
4406,0.766,1000,0.629,2021-09-14-22-41-11
